collect_time,GDY_1,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2023-11-20 13:00:00,61.861223,-7.050255,38.154039,66.378511,8.418149,86.423365,74.453721,5.756958,84.382249,79.318096,28.793765,40.228417,53.67365,21.81039,41.783392,51.059407,-25.429291,46.00867,-18.806531,,22.279446,19.359538,69.550905,55.882761,4.793447,50.295839,50.694639,52.072083,39.785192,-14.740482,26.671376,50.961796,43.304189,31.014742,-12.059322,16.763979
2023-11-20 13:10:00,61.853066,-7.050255,38.146001,66.362537,8.256027,86.407071,74.437723,5.756958,84.366111,79.286215,28.785593,40.212193,53.648992,21.778188,41.767406,51.051369,-25.445478,45.975933,-18.806531,,22.271513,19.343379,69.543025,55.858468,4.801526,50.287746,50.707073,52.047622,39.809319,-14.748605,26.663313,50.969849,43.3411,31.014742,-12.059322,16.763979
2023-11-20 13:20:00,61.83675,-7.058359,38.129924,66.346564,8.361406,86.362029,74.453721,5.765106,84.337442,79.262305,28.785593,40.195968,53.640773,21.786239,41.767406,51.00314,-25.453572,45.918642,-18.806531,,22.247714,19.319141,69.535146,55.874663,4.809606,50.287746,50.707073,52.023162,39.753023,-14.756728,26.663313,50.953744,43.3411,31.038844,-12.042859,16.780093
2023-11-20 13:30:00,61.828593,-7.050255,38.10581,66.338578,8.328982,86.341892,74.445722,5.822137,84.321304,79.246365,28.793765,40.163519,53.616114,21.762087,41.751421,50.930797,-25.461666,45.869536,-18.790208,,22.215981,19.294903,69.519387,55.842272,4.793447,50.295839,50.698907,52.006855,39.736939,-14.756728,26.663313,50.969849,43.3411,31.022776,-12.042859,16.780093
2023-11-20 13:40:00,61.80412,-7.058359,38.097772,66.298644,8.3533,86.325598,74.393126,5.81399,84.341904,79.230424,28.769249,40.155407,53.599676,21.745986,41.743428,50.914721,-25.477853,45.82043,-18.806531,,22.192182,19.270666,69.511507,55.866566,4.785368,50.287746,50.698907,52.006855,39.70477,-14.76485,26.647188,50.961796,43.3411,31.022776,-12.051091,16.788149
2023-11-20 13:50:00,61.795962,-7.050255,38.089734,66.274685,8.20739,86.256114,74.38173,5.838431,84.321304,79.190574,28.785593,40.139182,53.591456,21.745986,41.735435,50.890607,-25.485947,45.754955,-18.806531,,22.176316,19.254507,69.503628,55.85037,4.785368,50.295839,50.723405,51.990548,39.70477,-14.772973,26.639125,50.953744,43.332945,31.038844,-12.042859,16.788149
2023-11-20 14:00:00,61.779647,-7.042151,38.073657,66.258711,8.239815,86.276714,74.349734,5.968788,84.317697,79.174633,28.793765,40.106733,53.575017,21.737936,41.71945,50.826302,-25.502135,45.722217,-18.806531,,22.152517,19.230269,69.487869,55.842272,4.785368,50.279652,50.698907,51.966087,39.70477,-14.789218,26.647188,50.945691,43.349256,31.022776,-12.059322,16.796206
2023-11-20 14:10:00,61.763332,-7.042151,38.065619,66.234752,8.199284,86.244125,74.333736,5.968788,84.309628,79.142753,28.801937,40.082396,53.54214,21.681582,41.695471,50.810225,-25.526416,45.664926,-18.806531,,22.136651,19.21411,69.479989,55.817978,4.793447,50.295839,50.690741,51.957934,39.672601,-14.789218,26.667788,50.929586,43.349256,31.038844,-12.042859,16.812319
2023-11-20 14:20:00,61.747017,-7.042151,38.033467,66.218778,8.183072,86.235978,74.365732,5.944346,84.309628,79.110872,28.842797,40.066172,53.53392,21.657431,41.687478,50.770035,-25.558791,45.624005,-18.806531,,22.112852,19.197952,69.47211,55.777489,4.793447,50.283333,50.698907,51.94978,39.688685,-14.781095,26.647188,50.961796,43.3411,31.038844,-12.042859,16.804263
2023-11-20 14:30:00,61.738859,-7.042151,38.025429,66.202805,8.16686,86.211536,74.341735,5.952494,84.301559,79.094932,28.875486,40.05806,53.546301,21.64133,41.671493,50.737882,-25.583072,45.583083,-18.806531,,22.089052,19.173714,69.46423,55.785587,4.801526,50.312027,50.690741,51.933473,39.664558,-14.789218,26.639125,50.937639,43.3411,31.03081,-12.042859,16.828433
2023-11-20 14:40:00,61.730702,-7.042151,38.001314,66.194818,,,,,,,,,,,,,-25.59926,45.533976,,,,,,,4.793447,,,51.92532,,,,,,,-12.034627,16.820376
2023-11-20 14:50:00,61.722544,-7.042151,37.993276,66.162872,8.280345,86.178946,74.293741,5.805842,84.264821,79.063051,28.85097,40.02561,53.521643,21.63328,41.655507,50.681616,-25.59926,45.501239,-18.806531,,22.049387,19.149476,69.46423,55.777489,4.809606,50.287746,50.698907,51.909013,39.672601,-14.805463,26.651662,50.921533,43.349256,31.038844,-12.026395,16.828433
2023-11-20 15:00:00,61.714386,-7.034047,37.985238,66.146899,8.150648,86.125757,74.253746,5.81399,84.277352,79.055081,28.875486,40.017498,53.505204,21.625229,41.655507,50.641425,-25.607353,45.476686,-18.806531,,22.041454,19.141396,69.448471,55.704608,4.793447,50.303933,50.707073,51.892706,39.680643,-14.813586,26.643599,50.913481,43.349256,31.03081,-12.026395,16.812319
2023-11-20 15:10:00,61.698071,-7.034047,37.9772,66.138912,8.174966,86.113768,74.245748,5.822137,84.256752,79.047111,28.875486,40.017498,53.492823,21.63328,41.655507,50.673577,-25.615447,45.452133,-18.806531,,22.033521,19.173714,69.487869,55.769391,4.801526,50.328214,50.723405,51.860092,39.728896,-14.805463,26.614936,50.945691,43.349256,31.006708,-12.034627,16.828433
