collect_time,DD,FI,TI,BFO,BTO,TFO,TTO
2024/2/23 7:50,0.002384186,-0.000450571,0.000351733,0.144680381,1.012207031,0.132370204,1.027980804
2024/2/23 8:00,0.005317688,-0.000504643,0.000578333,0.153254241,1.010025024,0.133012295,1.027687073
2024/2/23 8:10,-0.012758255,-0.000548095,0.000426444,0.149217173,1.007579803,0.134291559,1.026763916
2024/2/23 8:20,0.005870819,-0.000622143,0.000396667,0.146740079,1.008308411,0.132856071,1.030082703
2024/2/23 8:30,0.006082535,-0.000388571,0.000606222,0.153467804,1.01411438,0.1322494,1.027713776
2024/2/23 8:40,0.002929688,-0.000390714,0.000632,0.156644702,1.010818481,0.134525537,1.024494171
2024/2/23 8:50,-0.014141083,-0.000425952,0.000397333,0.147998631,1.008087158,0.134091631,1.022994995
2024/2/23 9:00,-0.001127243,-0.00014,0.000321667,0.149064079,1.02135849,0.13780567,1.026256561
2024/2/23 9:10,-0.005910873,-2.89E-05,0.000472533,0.153649211,1.025821686,0.137110099,1.026832581
2024/2/23 9:20,0.003141403,-0.000329143,0.000692,0.160484761,1.018753052,0.136265129,1.030273438
2024/2/23 9:30,0.006380081,-0.000224286,0.000564667,0.157180339,1.023212433,0.137416542,1.03106308
2024/2/23 9:40,0.001832962,-0.0003,0.000464,0.150839865,1.018325806,0.13460049,1.028823853
2024/2/23 9:50,0.000331879,-0.000393143,0.000373333,0.148692787,1.01518631,0.13562426,1.028945923
2024/2/23 10:00,-0.006563187,-0.000372286,0.000455333,0.1507366,1.015571594,0.134800047,1.0286026
2024/2/23 10:10,0.016582489,-0.000477143,0.000436,0.144875646,1.015762329,0.129614636,1.032463074
2024/2/23 10:20,-0.009469986,-0.000575429,0.000305067,0.143186748,1.010665894,0.13250941,1.03080368
2024/2/23 10:30,-0.001083374,-0.000544571,0.00042,0.148834556,1.012245178,0.134135082,1.031303406
2024/2/23 10:40,0.007677078,-0.000715429,0.000533667,0.154436976,1.003799438,0.135758862,1.028839111
2024/2/23 10:50,-0.008583069,-0.000330286,0.000490222,0.150818884,1.0154953,0.133660555,1.027053833
2024/2/23 11:00,0.000335693,-0.000558929,0.000370467,0.147033334,1.010261536,0.134067148,1.029823303
2024/2/23 11:10,-0.007701874,-0.000452571,0.000302133,0.144562125,1.013565063,0.133987695,1.029403687
2024/2/23 11:20,0.011281967,-0.000360714,0.000593733,0.153790265,1.014522552,0.133010164,1.027145386
2024/2/23 11:30,0.001325607,-0.00055,0.000598356,0.153733134,1.006092072,0.13279146,1.025344849
2024/2/23 11:40,0.003921509,-0.000713429,0.000586089,0.154970348,1.003162384,0.134457394,1.028129578
2024/2/23 11:50,-0.000240326,-0.000854571,0.000332133,0.15026623,0.998413086,0.13864252,1.028327942
2024/2/23 12:00,0.00075531,-0.000734643,0.0004674,0.153280243,1.0025177,0.136921465,1.028232574
2024/2/23 12:10,-0.01061058,-0.000653429,0.000382467,0.149094075,1.00390625,0.135708153,1.026771545
2024/2/23 12:20,0.012908936,-0.000571143,0.000582933,0.157276422,1.007377625,0.13687405,1.027366638
2024/2/23 12:30,0.002561569,-0.000470571,0.000546867,0.153531611,1.007865906,0.134390861,1.024337769
2024/2/23 12:40,-0.003620148,-0.000544857,0.000301467,0.145489097,1.006340027,0.134939581,1.025409698
2024/2/23 12:50,0.00749588,-0.000483714,0.000367467,0.149936706,1.007453918,0.137074023,1.024383545
2024/2/23 13:00,-0.00160408,-0.000469643,2.31E-05,0.133064061,1.009094238,0.132255688,1.025535583
2024/2/23 13:10,-0.01232338,-0.000654,0.000126933,0.138262212,1.000267029,0.13382037,1.023162842
2024/2/23 13:20,0.001754761,-0.001025714,0.000380267,0.149639815,0.987445831,0.136330366,1.023345947
2024/2/23 13:30,-0.000610352,-0.000945143,0.000281067,0.147027582,0.995101929,0.13719064,1.028182983
2024/2/23 13:40,-0.01077652,-0.001174857,0.00038,0.146975756,0.988349915,0.133674383,1.029472351
2024/2/23 13:50,-0.008853912,-0.001179429,0.000445333,0.150177062,0.987556458,0.134590268,1.028839111
2024/2/23 14:00,-0.003410339,-0.001453714,0.000503467,0.152565777,0.982788086,0.134945393,1.033668518
2024/2/23 14:10,0.017047882,-0.001388643,0.000515133,0.152776062,0.982337952,0.134745538,1.030944824
2024/2/23 14:20,0.000133514,-0.00073419,0.000486444,0.150797248,1.005264282,0.133771151,1.030960083
2024/2/23 14:30,0.00321579,-0.000508286,0.0004016,0.148555189,1.010471344,0.134499282,1.028259277
2024/2/23 14:40,0.004205704,-0.000380905,0.000561467,0.152947962,1.017242432,0.133297056,1.030578613
2024/2/23 14:50,-0.000602722,-0.000411429,0.000539733,0.153848872,1.016269684,0.134957463,1.030670166
2024/2/23 15:00,0.008483887,-0.000346857,0.000637333,0.156522006,1.018432617,0.134215027,1.030570984
