collect_time,GDY_2,GDY_3,GDY_4,GDY_5,GDY_6,GDY_7,GDY_8,GDY_9,GDY_10,GDY_11,GDY_12,GDY_13,GDY_14,GDY_15,GDY_16,GDY_17,GDY_18,GDY_19,GDY_20,GDY_21,GDY_22,GDY_24,GDY_26,GDY_27,GDY_28,GDY_30,GDY_31,GDY_32,GDY_34,GDY_35,GDY_36,GDY_37,GDY_38,GDY_39,GDY_40
2024-02-22 18:10:00,-7.27063,58.836233,95.60089,20.231631,112.936276,82.85912,13.559095,100.386993,109.502349,34.53701,57.604991,72.151727,58.580467,77.077784,93.245781,-28.734289,68.275151,-19.592129,40.737932,74.045128,42.422721,69.60431,87.452043,7.537791,83.180903,91.932518,79.770587,80.769106,-12.871063,39.131393,43.340111,52.412792,34.030582,-14.192502,18.380037
2024-02-22 18:20:00,-7.27063,58.844271,95.592903,20.255949,112.919982,82.867119,13.616126,100.407593,109.518289,34.553354,57.580654,72.159946,58.596568,77.013842,93.253819,-28.726195,68.291519,-19.592129,40.729883,74.081594,42.414642,69.61219,87.496226,7.545871,83.180903,91.957016,79.778741,80.769106,-12.883541,39.12333,43.340111,52.412792,34.030582,-14.213102,18.359437
2024-02-22 18:30:00,-7.27063,58.852309,95.592903,20.264055,112.919982,82.867119,13.591684,100.403131,109.518289,34.553354,57.596879,72.168165,58.596568,77.053806,93.261857,-28.726195,68.283335,-19.592129,40.729883,74.065728,42.430801,69.648549,87.468239,7.525271,83.188996,91.965182,79.778741,80.785191,-12.899786,39.12333,43.360711,52.412792,34.038616,-14.213102,18.359437
2024-02-22 18:40:00,-7.27063,58.852309,95.60089,20.247843,112.936276,82.875118,13.583537,100.423731,109.518289,34.553354,57.588767,72.168165,58.604619,77.03782,93.269895,-28.697502,68.299704,-19.592129,40.721835,74.057795,42.430801,69.635828,87.435847,7.525271,83.19709,91.981513,79.795048,80.785191,-12.891663,39.131393,43.360711,52.400348,34.038616,-14.213102,18.367494
2024-02-22 18:50:00,-7.27063,58.868385,95.592903,20.243455,112.936276,82.883117,13.616126,100.407593,109.534229,34.545182,57.588767,72.176385,58.604619,77.077784,93.269895,-28.710008,68.291519,-19.592129,40.713786,74.073661,42.430801,69.651587,87.468239,7.541429,83.205184,92.006011,79.795048,80.801275,-12.891663,39.131393,43.360711,52.420948,34.04665,-14.221334,18.388094
2024-02-22 19:00:00,-7.27063,58.868385,95.608877,20.264055,112.977013,82.883117,13.559095,100.395062,109.5422,34.553354,57.604991,72.168165,58.62072,77.045813,93.269895,-28.718102,68.307888,-19.592129,40.721835,74.073661,42.430801,69.651587,87.471932,7.541429,83.213278,92.022342,79.795048,80.809317,-12.891663,39.139456,43.368764,52.412792,34.030582,-14.229565,18.367494
2024-02-22 19:10:00,-7.27063,58.868385,95.608877,20.272161,112.960718,82.891116,13.567242,100.386993,109.55017,34.553354,57.604991,72.192824,58.62877,77.053806,93.277933,-28.710008,68.316073,-19.592129,40.729883,74.089527,42.471197,69.659467,87.463834,7.549509,83.213278,92.022342,79.811355,80.809317,-12.899786,39.131393,43.360711,52.412792,34.022548,-14.221334,18.388094
2024-02-22 19:20:00,-7.27063,58.884461,95.616863,20.272161,112.928129,82.899115,13.550948,100.403131,109.55017,34.53701,57.613104,72.184604,58.652922,77.077784,93.285971,-28.701914,68.307888,-19.592129,40.737932,74.081594,42.43888,69.675226,87.439541,7.549509,83.221371,92.038674,79.827662,80.809317,-12.899786,39.131393,43.368764,52.412792,34.030582,-14.229565,18.380037
2024-02-22 19:30:00,-7.27063,58.884461,95.616863,20.247843,112.977013,82.899115,13.550948,100.395062,109.56611,34.524582,57.613104,72.192824,58.644871,77.053806,93.285971,-28.69382,68.340626,-19.592129,40.74598,74.089527,42.471197,69.690985,87.447639,7.549509,83.221371,92.04684,79.819508,80.809317,-12.899786,39.131393,43.368764,52.420948,34.030582,-14.229565,18.359437
2024-02-22 19:40:00,-7.278734,58.8925,95.62485,20.255949,112.968865,82.899115,13.534653,100.403131,109.57408,34.545182,57.621216,72.192824,58.660972,77.117748,93.294009,-28.685727,68.340626,-19.592129,40.754029,74.081594,42.455039,69.690985,87.488128,7.549509,83.237559,92.055006,79.827662,80.825402,-12.907909,39.131393,43.368764,52.412792,34.030582,-14.229565,18.388094
2024-02-22 19:50:00,-7.27063,58.8925,95.632836,20.272161,112.968865,82.907114,13.591684,100.423731,109.57408,34.545182,57.63744,72.192824,58.652922,77.109755,93.310085,-28.677633,68.324257,-19.592129,40.74598,74.09746,42.479276,69.706744,87.48003,7.557588,83.237559,92.055006,79.827662,80.833444,-12.899786,39.131393,43.368764,52.404637,34.038616,-14.229565,18.35138
2024-02-22 20:00:00,-7.278734,58.8925,95.632836,20.280267,112.903687,82.915113,13.526506,100.439869,109.59002,34.569698,57.621216,72.201043,58.660972,77.117748,93.318124,-28.677633,68.311841,-19.592129,40.737932,74.09746,42.471197,69.706744,87.471932,7.549509,83.237559,92.055006,79.843968,80.833444,-12.899786,39.131393,43.368764,52.404637,34.022548,-14.237797,18.388094
